Bin,Customer ICAO
0.09,BMA
0.13,TTA
0.14,TTA
0.15,LTC
0.16,AJD
0.17,BMA
0.18,BMA
0.18,BMA
0.18,BMA
0.18,GRM
0.19,FLI
0.19,AJD
0.19,ABR
0.2,SIA
0.2,SAS
0.21,RYN
0.21,EIR
0.21,ASH
0.21,JBU
0.22,FIF
0.22,JBU
0.22,RYN
0.22,LBY
0.23,CFS
0.23,ASH
0.23,SOO
0.24,LUZ
0.24,SOO
0.24,KEM
0.24,CPA
0.24,CPA
0.24,PTI
0.24,HYR
0.24,CPA
0.24,ASH
0.24,CPA
0.24,CPA
0.24,ASH
0.25,CPA
0.25,SAS
0.25,EZE
0.25,EZE
0.25,AAY
0.25,IWA
0.25,NAX
0.25,NAX
0.25,SAS
0.25,NAX
0.25,STM
0.25,ABR
0.25,ASH
0.26,SMJ
0.26,VJS
0.26,DHK
0.26,ELB
0.26,APZ
0.26,JTG
0.26,ASH
0.26,DAV
0.26,KZU
0.27,DAV
0.27,JAG
0.27,JAG
0.27,JAG
0.27,MTN
0.27,ASH
0.27,BMA
0.28,RYN
0.28,BMA
0.28,BMA
0.28,JET
0.28,AHY
0.28,BMA
0.28,BMA
0.28,NAX
0.28,FIF
0.28,CLJ
0.28,BMA
0.28,CPA
0.28,FIF
0.29,FIF
0.29,KEY
0.29,BMA
0.29,BMA
0.29,CPA
0.29,IWA
0.29,PEF
0.29,BCY
0.29,BCY
0.29,BCY
0.29,ASH
0.29,CPA
0.29,DTR
0.3,ASH
0.3,SOO
0.3,DUC
0.3,SAS
0.3,CPA
0.3,FLI
0.3,SAS
0.3,FLG
0.3,JBU
0.3,ABR
0.3,JBU
0.3,NAX
0.3,SAS
0.3,SOO
0.3,NIA
0.3,JBU
0.3,LBY
0.3,RYN
0.3,AHY
0.3,XLS
0.3,AHY
0.31,CPA
0.31,AHY
0.31,KKK
0.31,SAS
0.31,LBE
0.31,SFR
0.31,FSR
0.31,WND
0.31,VJS
0.31,VJS
0.31,EJS
0.31,VJS
0.32,VJS
0.32,VJS
0.32,MEG
0.32,NVD
0.32,CJL
0.32,GMA
0.32,AHY
0.32,SAS
0.32,SOO
0.32,SOO
0.32,ABR
0.33,VJS
0.33,ABR
0.33,SFR
0.33,ASH
0.33,GMA
0.33,CPA
0.33,ABR
0.33,AUR
0.33,HKE
0.34,HKE
0.34,HKE
0.34,ASH
0.34,PRJ
0.34,ABX
0.34,VJS
0.34,JAG
0.34,BCY
0.34,BCY
0.34,BCY
0.34,ASH
0.35,SGX
0.35,EIN
0.35,UBA
0.35,AAY
0.35,UBA
0.35,ABX
0.35,NAX
0.36,FWD
0.36,PRI
0.36,SIA
0.36,ABR
0.36,SIA
0.36,DHX
0.37,SFR
0.37,EZE
0.37,SAS
0.37,EMM
0.37,SRR
0.37,SMJ
0.37,DHK
0.38,JBU
0.38,JBU
0.38,JBU
0.39,JBU
0.39,JBU
0.4,SIA
0.4,GNJ
0.41,EFS
0.41,DPJ
0.41,AHY
0.42,CPA
0.42,NAX
0.42,AVI
0.43,BCY
0.43,BCY
0.43,BCY
0.43,BCY
0.44,BCY
0.44,BCY
0.45,BCY
0.45,JNS
0.45,EFI
0.46,ABR
0.47,NAX
0.47,DTR
0.48,NAX
0.5,NAX
0.5,NAX
0.5,NAX
0.51,NAX
0.51,NAX
0.52,CPA
0.52,BTI
0.53,BTI
0.53,WOW
0.54,BTI
